"gene","degree","betweenness","closeness","eigenvector","pagerank","rank_degree","rank_betweenness","rank_closeness","rank_eigenvector","rank_pagerank","hub_score","high_confidence"
"LPCAT3",1,0,0.190687361419069,0.000419376172997743,0.00106717326814266,310.5,287,284,286,301,293.7,TRUE
"RND3",1,0,0.184648416532474,0.000507767118692464,0.00111092107141591,310.5,287,291.5,283,296.5,293.7,FALSE
"GPD1",1,0,0.184648416532474,0.000507767118692463,0.00111092107141591,310.5,287,291.5,284,296.5,293.9,FALSE
"UGP2",1,0,0.181338956246705,0.000181539002115229,0.00122253099043143,310.5,287,295,302,276,294.1,FALSE
"C2CD4B",1,0,0.172604114400401,0.000371650078428383,0.0012102511213423,310.5,287,311.5,287,279.5,295.1,FALSE
"UPP1",1,0,0.172604114400401,0.000371650078428382,0.0012102511213423,310.5,287,311.5,288,279.5,295.3,TRUE
"CLK1",1,0,0.165225744476465,6.36419298381917e-05,0.00143758230516865,310.5,287,316.5,312,250.5,295.3,TRUE
"GNL3",1,0,0.165225744476465,6.36419298381916e-05,0.00143758230516865,310.5,287,316.5,313,250.5,295.5,TRUE
"VPS37B",1,0,0.181243414120126,0.000317042783484396,0.00113384567552887,310.5,287,296,290,295,295.7,TRUE
"CENPJ",1,0,0.14853195164076,1.25735120326009e-05,0.00159004102925407,310.5,287,333,324,230,296.9,TRUE
"CITED2",1,0,0.174885612608033,0.000107936634694867,0.00117138121940091,310.5,287,303.5,308,288.5,299.5,FALSE
"WTAP",1,0,0.174885612608033,0.000107936634694865,0.00117138121940091,310.5,287,303.5,309,288.5,299.7,FALSE
"PLIN2",1,0,0.156292594275329,2.05426926650857e-05,0.0014140713860497,310.5,287,326,323,253,299.9,TRUE
"NAPSA",1,0,0.17453069507864,0.000115880755453875,0.00116976417738699,310.5,287,306,307,290,300.1,TRUE
"NDEL1",1,0,0.168627450980392,0.000160410061434717,0.00119705063584388,310.5,287,314,306,284,300.3,TRUE
"SLC47A2",1,0,0.115011701771983,1.75009037493565e-08,0.00174342287483631,310.5,287,344,342,219,300.5,TRUE
"PGRMC1",1,0,0.185745140388769,0.000161763304428477,0.000919524486302985,310.5,287,287,305,323,302.5,FALSE
"DHRS4L2",1,0,0.138877674606379,6.08008513049812e-07,0.0014904426193045,310.5,287,335,338,247,303.5,FALSE
"ACOX2",1,0,0.161048689138577,1.09244259219645e-05,0.00121702968090334,310.5,287,321,329,277,304.9,FALSE
"PXMP2",1,0,0.154954954954955,1.11644736447206e-05,0.00120455080079263,310.5,287,327.5,326,282.5,306.7,FALSE
"UPB1",1,0,0.154954954954955,1.11644736447197e-05,0.00120455080079263,310.5,287,327.5,327,282.5,306.9,FALSE
"SIK1",1,0,0.104878048780488,4.04974598738227e-10,0.00144327570747509,310.5,287,345,345,249,307.3,FALSE
"ALAD",1,0,0.132155205532078,1.23056541966195e-07,0.00117628612040083,310.5,287,340,341,287,313.1,FALSE
