gene,rank,weighted_lfc,direction_consistency
PLIN5,1131,0.51438518120278,1
FAM160A1,1132,0.405062534636216,1
TRIM38,1139,0.430539296976013,1
LMO3,1168,-0.649605010665556,1
B4GALT5,1174,0.65180435600523,1
YWHAG,1190,0.404099732689054,1
NEK6,1212,0.697937400412611,1
CTSA,1214,0.539967134498414,1
PRSS35,1230,-0.462965872262525,1
LRRC2,1233,-0.412068393895632,1
FZD2,1254,-0.662536950867768,1
CLDN19,1269,-0.470140071171076,1
UGT2B7,1272,1.27175879175254,1
MAP1LC3C,1282,0.911698722440691,1
TTLL6,1286,0.726493785020811,1
PTGIS,1298,-0.840042814332813,1
PAPPA,1300,0.746897094218,1
ZNF878,1319,1.16281296159731,1
LTF,1341,0.507886561932301,1
EGR3,1345,2.98980210466795,1
PCDH7,1355,-0.580815089876918,1
WNT5A,1363,-0.531645848289646,1
CBX7,1364,-0.494162597827868,1
NUDT7,1373,-0.382176713655986,1
CENPJ,1375,0.602773257455632,1
NAPSB,1400,0.800765558643529,1
AGR3,1402,0.625431815506099,1
FCGBP,1414,-0.869042474034589,1
