gene,rank,weighted_lfc,direction_consistency
FOS,441,5.18273664876549,0.666666666666667
ETNK1,442,0.0116043422336023,0.666666666666667
WEE1,443,1.65191818144696,1
ZMYM5,444,0.545240419039731,1
MXD4,445,-0.379105652355763,1
SERPINA3,446,3.39487987848035,0.666666666666667
NKAIN4,447,0.697427528627443,0.666666666666667
RELT,448,0.764240858639866,1
BTG2,449,3.06294468804104,0.666666666666667
IRF8,450,0.503950034688244,0.666666666666667
POLR2B,451,-0.311716921049815,0.666666666666667
YWHAH,452,0.468709301120257,0.666666666666667
AUH,453,-0.215585167097698,0.666666666666667
SLC16A4,454,0.342476935308644,0.666666666666667
PDZD2,455,-0.361941263418958,0.666666666666667
UBE4B,456,-0.27475500637432,0.666666666666667
THBD,457,0.594996115266833,0.666666666666667
KBTBD6,458,-0.385510341377411,1
SRF,459,0.550412965157832,1
IER5L,460,0.338135641649038,0.666666666666667
THPO,461,0.522284821505794,1
RSAD1,462,-0.121512871441636,0.666666666666667
SUMO2,463,-0.21021380968962,1
PTPN2,464,0.210059812710952,1
SLC2A5,465,-0.7187395254065,0.666666666666667
SLK,466,0.100723551068772,0.666666666666667
COTL1,467,0.0966323464919158,0.666666666666667
OLFM4,468,1.0243986675927,0.666666666666667
ASTE1,469,0.565852033570485,0.666666666666667
GTF2B,470,0.2755036588736,1
PFKFB2,471,0.303672874261045,1
CDR2L,472,0.396331586768531,0.666666666666667
SARDH,473,0.51653507888051,0.666666666666667
GNL2,474,0.2435968858332,1
PLAUR,475,1.02525457787582,1
KYNU,476,-0.0569170098560178,0.666666666666667
MTTP,477,1.04616656639605,0.666666666666667
CD47,478,-0.312929177374489,1
RUFY3,479,0.469328739264551,0.666666666666667
SNHG12,480,0.474409649044081,0.666666666666667
CCT2,481,0.183905908731058,1
ADRB2,482,0.915347947597796,0.666666666666667
MAGEH1,483,-0.227195122888188,1
DAO,484,0.460735318039924,0.666666666666667
CRHBP,485,0.801371663094659,0.666666666666667
C10orf67,486,-0.000804169829114098,0.666666666666667
NFKB2,487,0.424155113157473,0.666666666666667
EPHA2,488,1.05184592040105,0.666666666666667
DDIT3,489,2.39213605121892,0.666666666666667
RALYL,490,-0.19484269819963,0.666666666666667
NT5DC1,491,-0.308342549820375,0.666666666666667
AQP1,492,-0.293141422503154,0.666666666666667
TDG,493,0.384719635106231,0.666666666666667
GLRX5,494,-0.452606337018846,0.666666666666667
ZC3H12A,495,1.58508779183968,1
B3GNT5,496,1.39371222207075,1
FAR1,497,-0.199472291533735,1
NUP98,498,0.325838498698096,1
ZNF331,499,1.18012734870163,0.666666666666667
PCSK5,500,0.24624949766494,1
GLYATL1,501,-0.591078787703372,0.666666666666667
WASL,502,-0.18173081774805,0.666666666666667
SLC13A2,503,0.166266477924679,0.666666666666667
PGRMC2,504,-0.319168024860607,0.666666666666667
HLTF,505,-0.292184121940194,1
CUL5,506,-0.334409424619689,0.666666666666667
HBA1,507,2.40832169885898,0.666666666666667
PCYOX1,508,-0.434940030072534,0.666666666666667
CLCN3,509,-0.266962865469902,1
ZSWIM4,510,0.539862389724116,0.666666666666667
EXTL2,511,-0.186785085815204,1
TSPAN7,512,-0.679044146457404,0.666666666666667
