gene_symbol,log2FoldChange,pvalue,t_statistic,mean_case,mean_ctrl,padj,comparison,dataset,ischemia_also
C9orf103,-0.9878905350886136,4.6433767645661053e-11,-8.713112858699873,8.998492840145957,9.98638337523457,2.7129573660416994e-09,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C9orf123,-0.40528348034811934,7.466011798676009e-07,-5.586297823551988,7.68345818398795,8.08874166433607,1.6723786918791463e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
C9orf66,-1.020111269214759,2.846677271077164e-06,-5.2870905050513235,8.420675418266287,9.440786687481046,5.3047162509499376e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
C9orf71,0.5307328571433274,4.2290266406548875e-14,8.792543617432019,7.53477156062072,7.004038703477392,4.099135108120488e-12,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
CA4,-0.5257513352261061,0.0001648798549317685,-4.087273223759447,8.631687593074084,9.15743892830019,0.0017834921207031899,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
CABC1,-0.4580107525651975,1.5267501084689302e-07,-6.038191293531627,8.237494510514876,8.695505263080074,4.1227297221163116e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
CACNA1H,-0.4035694993500014,3.548788990781611e-08,-6.214253188094246,7.701637667722227,8.105207167072228,1.1404652901085564e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
CACYBP,0.3963167444810711,1.5131337290824017e-05,4.6732450068631035,8.752555273390758,8.356238528909687,0.00022962841479548846,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
CALCA,0.539527033071673,1.6063270776541768e-19,10.165511947146229,7.440047936100119,6.900520903028446,3.692533397578047e-17,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
CALML3,-0.5824821887668641,0.0009054794480016326,-3.532622707734626,7.378879473934997,7.9613616627018615,0.007404899677115996,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
CARHSP1,0.5812259417308088,7.744261093723898e-11,7.498075230929421,9.701139341787218,9.11991340005641,4.337920525029071e-09,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
CASP4,0.5702326709635033,1.1533818413419432e-17,10.755034715681015,8.480949687864225,7.910717016900722,1.956423948376271e-15,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
CASR,-0.444982572659975,0.000319252167980362,-3.8736290044113892,7.79294715220045,8.237929724860425,0.003093752810511377,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
CASZ1,0.381096803777937,2.528173295037705e-12,8.806637787294212,7.524501485516616,7.143404681738679,1.8336666552129505e-10,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
CAT,-0.6684079324071348,2.8874778291099997e-11,-8.200589344584547,10.427028282856012,11.095436215263147,1.7352504262452907e-09,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
CATSPER2,0.6287888890552384,0.00047424350271621285,3.7622536857591844,11.778012608880855,11.149223719825617,0.004322860547944295,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
CBARA1,-0.5661590398189524,6.990953332282956e-08,-6.534570271118201,8.070964047930183,8.637123087749135,2.071045308655966e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
CBR4,-0.4712082921977725,1.57711454430486e-10,-8.11301671994859,8.051626214279539,8.522834506477311,8.313844302665733e-09,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
CBX7,-0.5068099050057917,1.0104326329466959e-16,-11.501954359044793,8.299636726829451,8.806446631835243,1.5019741897586096e-14,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
