gene_symbol,log2FoldChange
AQP6,0.1693515428239616
AQP7,-0.05258572986175558
AQP7P1,-0.02898988170645822
AQP7P2,-0.08719960224394807
AQP8,-0.01904238893524024
AQP9,0.17667133286251335
AQR,-0.03238288097120634
AR,-0.1812203134821342
ARAF,0.02343253594081851
ARAP1,-0.04998547563620637
ARAP2,0.07645366782419583
ARAP3,0.057131815852165424
ARC,0.13507407861618415
ARCN1,0.17570326363646416
ARD1A,0.04578981107143232
ARD1B,-0.018999405920755663
ARF1,0.134537949759153
ARF3,0.009552914005841018
ARF4,0.24022885828212637
ARF5,-0.11307876603943434
ARF6,-0.0005428226999253383
ARFGAP1,0.09786623767313607
ARFGAP2,-0.09522937861073189
ARFGAP3,0.42865362001828267
ARFGEF1,-0.0409027133667319
ARFGEF2,0.11132231455296715
ARFIP1,0.0318196972904099
ARFIP2,-0.02202548188927267
ARFRP1,-0.02073076462230361
ARG1,0.032314292507501285
ARG2,0.1185761699959631
ARG99,0.011078292713841975
ARGFXP2,-0.03576277611339851
ARGLU1,0.08315123816012715
ARHGAP1,-0.002740158087041422
ARHGAP10,0.062361719323663856
ARHGAP11A,0.014378291107592922
ARHGAP12,0.023310199822109468
ARHGAP15,-0.06980120256878575
ARHGAP17,0.10320761357637309
ARHGAP18,-0.07194447262630455
ARHGAP19,-0.1124053984752793
ARHGAP20,0.004294106282825894
ARHGAP21,0.0918133739102931
ARHGAP22,0.02746867681898113
ARHGAP23,0.024205185291151565
ARHGAP24,-0.5025443784966397
ARHGAP25,0.016036365584135126
ARHGAP26,0.049763361461725886
ARHGAP27,0.05187252814065246
ARHGAP28,-0.15412971656030994
ARHGAP29,0.068808489354792
